;04_DBD_3_1_1_1;04_DBD_3_2_1_1;04_DBD_3_3_1_1;04_DBD_3_4_1_1;04_DBD_3_5_1_1;04_DBD_3_6_1_1;04_DBD_3_7_1_1;04_DBD_3_8_1_1;04_DBD_3_9_1_1;04_DBD_3_10_1_1;04_DBD_3_11_1_1;04_DBD_3_12_1_1;04_DBD_3_13_1_1;04_DBD_3_14_1_1;04_DBD_3_15_1_1;04_DBD_3_16_1_1;04_DBD_3_17_1_1;04_DBD_3_18_1_1;04_DBD_3_19_1_1;04_DBD_3_20_1_1
1.5360000000e-04;1.0110216621e+00;1.0108436053e+00;1.0115180219e+00;1.0115776423e+00;1.0113876283e+00;1.0116180486e+00;1.0114790073e+00;1.0115202625e+00;1.0111931588e+00;1.0112642081e+00;1.0111749055e+00;1.0112941213e+00;1.0113351190e+00;1.0118614949e+00;1.0119344015e+00;1.0111968450e+00;1.0111707328e+00;1.0114520770e+00;1.0112323114e+00;1.0112480130e+00
1.6640000000e-04;1.0106890940e+00;1.0105240126e+00;1.0112744102e+00;1.0112315399e+00;1.0109428439e+00;1.0112212688e+00;1.0108597963e+00;1.0110701262e+00;1.0108010733e+00;1.0107511227e+00;1.0108648031e+00;1.0110373046e+00;1.0109325422e+00;1.0113643816e+00;1.0116462249e+00;1.0108762838e+00;1.0108057914e+00;1.0109943999e+00;1.0109000703e+00;1.0109636501e+00
1.7920000000e-04;1.0103323852e+00;1.0100984934e+00;1.0109467357e+00;1.0108052237e+00;1.0105848169e+00;1.0108390715e+00;1.0105887638e+00;1.0107794787e+00;1.0104803270e+00;1.0104740973e+00;1.0103920441e+00;1.0106540585e+00;1.0105701761e+00;1.0111145689e+00;1.0110487720e+00;1.0105464654e+00;1.0104903806e+00;1.0108109741e+00;1.0104558026e+00;1.0105893916e+00
1.9200000000e-04;1.0100021475e+00;1.0099062336e+00;1.0105217894e+00;1.0105948906e+00;1.0102177087e+00;1.0105009655e+00;1.0102977523e+00;1.0105519785e+00;1.0102207357e+00;1.0100718342e+00;1.0101485005e+00;1.0103229424e+00;1.0102364859e+00;1.0106588879e+00;1.0108449620e+00;1.0101469977e+00;1.0100527361e+00;1.0103419154e+00;1.0100549236e+00;1.0103486523e+00
2.0480000000e-04;1.0096899548e+00;1.0094484413e+00;1.0103041879e+00;1.0101867896e+00;1.0099508910e+00;1.0102023598e+00;1.0098922209e+00;1.0100489773e+00;1.0100053802e+00;1.0098266413e+00;1.0098762668e+00;1.0100847613e+00;1.0099700521e+00;1.0105649130e+00;1.0105390421e+00;1.0098348254e+00;1.0098760396e+00;1.0101720238e+00;1.0097995037e+00;1.0099563479e+00
2.3040000000e-04;1.0091655102e+00;1.0089264056e+00;1.0096268361e+00;1.0096876089e+00;1.0094577441e+00;1.0097165648e+00;1.0094279845e+00;1.0096599161e+00;1.0093737741e+00;1.0092937069e+00;1.0092309532e+00;1.0094803780e+00;1.0094363975e+00;1.0098877711e+00;1.0099600149e+00;1.0092286746e+00;1.0093166621e+00;1.0095232588e+00;1.0093631071e+00;1.0094531726e+00
2.5600000000e-04;1.0086283385e+00;1.0084829186e+00;1.0091630395e+00;1.0092751290e+00;1.0089883265e+00;1.0091844859e+00;1.0089000904e+00;1.0091409353e+00;1.0089083705e+00;1.0088086593e+00;1.0088054764e+00;1.0089799346e+00;1.0088530296e+00;1.0093308512e+00;1.0093836301e+00;1.0087252032e+00;1.0088588944e+00;1.0091703715e+00;1.0089442681e+00;1.0088946178e+00
2.8160000000e-04;1.0083341777e+00;1.0080376142e+00;1.0086721838e+00;1.0087168591e+00;1.0086187622e+00;1.0087348778e+00;1.0084711690e+00;1.0086418288e+00;1.0084687392e+00;1.0083523486e+00;1.0083453812e+00;1.0085497050e+00;1.0085033253e+00;1.0089337114e+00;1.0089968129e+00;1.0083649945e+00;1.0085549356e+00;1.0086602590e+00;1.0084133977e+00;1.0084466014e+00
3.0720000000e-04;1.0079176591e+00;1.0076258812e+00;1.0083424306e+00;1.0084099825e+00;1.0080986627e+00;1.0083259946e+00;1.0080941558e+00;1.0082647043e+00;1.0081176120e+00;1.0079320259e+00;1.0080053463e+00;1.0081303238e+00;1.0080286098e+00;1.0085469402e+00;1.0085850633e+00;1.0080508234e+00;1.0081156752e+00;1.0082184411e+00;1.0080570172e+00;1.0081532351e+00
3.3280000000e-04;1.0075118384e+00;1.0072314284e+00;1.0079591394e+00;1.0079710230e+00;1.0077982988e+00;1.0079894822e+00;1.0077216168e+00;1.0079280059e+00;1.0076437006e+00;1.0075676413e+00;1.0075553960e+00;1.0077992758e+00;1.0078030595e+00;1.0081960219e+00;1.0081788267e+00;1.0077240142e+00;1.0077178181e+00;1.0078642281e+00;1.0077025874e+00;1.0077581261e+00
3.5840000000e-04;1.0072667081e+00;1.0069851411e+00;1.0076721497e+00;1.0077145195e+00;1.0074096069e+00;1.0077521694e+00;1.0074301964e+00;1.0076404420e+00;1.0073879254e+00;1.0072896228e+00;1.0073320456e+00;1.0074382056e+00;1.0074365879e+00;1.0078220884e+00;1.0079775194e+00;1.0073099338e+00;1.0074024369e+00;1.0075740620e+00;1.0074526406e+00;1.0074575340e+00
3.8400000000e-04;1.0069728562e+00;1.0067101344e+00;1.0073497345e+00;1.0073984200e+00;1.0071110715e+00;1.0074644636e+00;1.0071496715e+00;1.0072450729e+00;1.0070301270e+00;1.0070375408e+00;1.0069836476e+00;1.0071618065e+00;1.0071124972e+00;1.0075139833e+00;1.0076860404e+00;1.0069868525e+00;1.0071154597e+00;1.0072168050e+00;1.0070776650e+00;1.0072564580e+00
