;01_R110_3_2_1_1;01_R110_3_4_1_1;01_R110_3_6_1_1;01_R110_3_8_1_1;01_R110_3_10_1_1;01_R110_3_12_1_1;01_R110_3_14_1_1;01_R110_3_16_1_1;01_R110_3_18_1_1;01_R110_3_20_1_1
5.6320000000e-04;1.0033609550e+00;1.0033007195e+00;1.0034129919e+00;1.0032559881e+00;1.0033950218e+00;1.0035692246e+00;1.0036460961e+00;1.0033334050e+00;1.0033262764e+00;1.0034852205e+00
6.1440000000e-04;1.0030899100e+00;1.0030613224e+00;1.0028414363e+00;1.0028426666e+00;1.0031901890e+00;1.0030263401e+00;1.0032206561e+00;1.0032021186e+00;1.0030575357e+00;1.0031173474e+00
6.6560000000e-04;1.0029901224e+00;1.0027148091e+00;1.0025278876e+00;1.0026766571e+00;1.0028260675e+00;1.0027279241e+00;1.0031553183e+00;1.0027222664e+00;1.0029060645e+00;1.0029148234e+00
7.1680000000e-04;1.0027213107e+00;1.0026718081e+00;1.0023015193e+00;1.0024852435e+00;1.0025954650e+00;1.0024097280e+00;1.0030313594e+00;1.0026677898e+00;1.0026108198e+00;1.0023107586e+00
7.6800000000e-04;1.0025296287e+00;1.0025085434e+00;1.0022468519e+00;1.0023791033e+00;1.0024255180e+00;1.0020762664e+00;1.0027334838e+00;1.0023494174e+00;1.0022277930e+00;1.0020685214e+00
8.1920000000e-04;1.0025220438e+00;1.0023718861e+00;1.0022729161e+00;1.0023205209e+00;1.0022644706e+00;1.0020349585e+00;1.0026017067e+00;1.0021379962e+00;1.0019486579e+00;1.0021363545e+00
9.2160000000e-04;1.0020290440e+00;1.0020195522e+00;1.0021234422e+00;1.0019541816e+00;1.0018367512e+00;1.0019581344e+00;1.0021740674e+00;1.0018265529e+00;1.0018178127e+00;1.0018662795e+00
1.0240000000e-03;1.0015005819e+00;1.0016834408e+00;1.0018763382e+00;1.0016558929e+00;1.0015391372e+00;1.0016810477e+00;1.0019634667e+00;1.0015460327e+00;1.0016481675e+00;1.0017059673e+00
1.1264000000e-03;1.0014856027e+00;1.0015500823e+00;1.0016914775e+00;1.0016002768e+00;1.0012391874e+00;1.0014638315e+00;1.0015641265e+00;1.0012772085e+00;1.0013375109e+00;1.0012936923e+00
1.2288000000e-03;1.0013225652e+00;1.0013169882e+00;1.0016272230e+00;1.0013494049e+00;1.0014268831e+00;1.0013675766e+00;1.0014746202e+00;1.0012427490e+00;1.0011535055e+00;1.0012884062e+00
1.3312000000e-03;1.0012672665e+00;1.0012090288e+00;1.0012985892e+00;1.0013244898e+00;1.0010404586e+00;1.0010685430e+00;1.0011836579e+00;1.0012580817e+00;1.0010663852e+00;1.0013863207e+00
1.4336000000e-03;1.0011189932e+00;1.0012092946e+00;1.0011053653e+00;1.0010752192e+00;1.0011923650e+00;1.0010755063e+00;1.0010913564e+00;1.0010475450e+00;1.0012410796e+00;1.0013157028e+00
1.5360000000e-03;1.0008333300e+00;1.0009818464e+00;1.0010472016e+00;1.0010233379e+00;1.0010602049e+00;1.0009802324e+00;1.0009933258e+00;1.0009512944e+00;1.0010838881e+00;1.0010497459e+00
1.6384000000e-03;1.0006904213e+00;1.0010136351e+00;1.0008628894e+00;1.0009979592e+00;1.0010005946e+00;1.0009774423e+00;1.0011719248e+00;1.0009512251e+00;1.0008589660e+00;1.0010303380e+00
