;03_DM100_2_1_1_1;03_DM100_2_2_1_1;03_DM100_2_3_1_1;03_DM100_2_4_1_1;03_DM100_2_5_1_1;03_DM100_2_6_1_1;03_DM100_2_7_1_1;03_DM100_2_8_1_1;03_DM100_2_9_1_1;03_DM100_2_10_1_1;03_DM100_2_11_1_1;03_DM100_2_12_1_1;03_DM100_2_13_1_1;03_DM100_2_14_1_1;03_DM100_2_15_1_1;03_DM100_2_16_1_1;03_DM100_2_17_1_1;03_DM100_2_18_1_1
5.1200000000e-05;1.0174295168e+00;1.0174875125e+00;1.0177133238e+00;1.0178720251e+00;1.0175162108e+00;1.0177400508e+00;1.0176410336e+00;1.0176983220e+00;1.0184287224e+00;1.0182101116e+00;1.0177585326e+00;1.0180134820e+00;1.0176125431e+00;1.0175203991e+00;1.0176285361e+00;1.0177020462e+00;1.0179154418e+00;1.0174443455e+00
5.7600000000e-05;1.0168629200e+00;1.0169586952e+00;1.0171759876e+00;1.0172742107e+00;1.0169095353e+00;1.0172495842e+00;1.0171409877e+00;1.0172168715e+00;1.0179943224e+00;1.0177837640e+00;1.0174323680e+00;1.0173803478e+00;1.0172418392e+00;1.0170882935e+00;1.0171941273e+00;1.0172362988e+00;1.0173715465e+00;1.0169842657e+00
6.4000000000e-05;1.0162968593e+00;1.0164307387e+00;1.0165584467e+00;1.0168204713e+00;1.0165360774e+00;1.0166232066e+00;1.0167430726e+00;1.0167383968e+00;1.0174456212e+00;1.0174295782e+00;1.0168605046e+00;1.0168930903e+00;1.0166518945e+00;1.0165091452e+00;1.0167582291e+00;1.0166625214e+00;1.0169045060e+00;1.0164569344e+00
7.0400000000e-05;1.0159246070e+00;1.0160061748e+00;1.0161219283e+00;1.0162456542e+00;1.0160697832e+00;1.0162389779e+00;1.0162793717e+00;1.0163841653e+00;1.0170129406e+00;1.0168232289e+00;1.0164499455e+00;1.0165344838e+00;1.0163235129e+00;1.0160481062e+00;1.0163069096e+00;1.0163206950e+00;1.0164077202e+00;1.0160851419e+00
7.6800000000e-05;1.0156800742e+00;1.0157072291e+00;1.0157992735e+00;1.0158808218e+00;1.0155081522e+00;1.0158086360e+00;1.0158235058e+00;1.0158559015e+00;1.0165854934e+00;1.0165439682e+00;1.0159473581e+00;1.0159285523e+00;1.0158305388e+00;1.0156479884e+00;1.0158498659e+00;1.0158172551e+00;1.0160477684e+00;1.0155185597e+00
8.3200000000e-05;1.0151124207e+00;1.0151208840e+00;1.0153892924e+00;1.0154330973e+00;1.0151456399e+00;1.0155532796e+00;1.0154164954e+00;1.0154636330e+00;1.0162477348e+00;1.0160515215e+00;1.0155033233e+00;1.0156163000e+00;1.0153254489e+00;1.0151335482e+00;1.0154474521e+00;1.0154725035e+00;1.0155597555e+00;1.0152411724e+00
8.9600000000e-05;1.0145951165e+00;1.0150279895e+00;1.0151858412e+00;1.0151694775e+00;1.0149236778e+00;1.0151689401e+00;1.0149717784e+00;1.0150045328e+00;1.0158345049e+00;1.0157219562e+00;1.0152473524e+00;1.0152822652e+00;1.0150706000e+00;1.0149088686e+00;1.0151721889e+00;1.0150880846e+00;1.0153445902e+00;1.0148178940e+00
9.6000000000e-05;1.0144686400e+00;1.0144447847e+00;1.0145607683e+00;1.0147781398e+00;1.0144010418e+00;1.0148228045e+00;1.0147121716e+00;1.0146125013e+00;1.0154494024e+00;1.0152960449e+00;1.0149483109e+00;1.0148809099e+00;1.0147264002e+00;1.0145453615e+00;1.0148287827e+00;1.0147319111e+00;1.0149118796e+00;1.0145053649e+00
1.0240000000e-04;1.0140975942e+00;1.0141746100e+00;1.0142937410e+00;1.0144425520e+00;1.0140086591e+00;1.0143601362e+00;1.0143739129e+00;1.0143754186e+00;1.0148807531e+00;1.0150608003e+00;1.0146146036e+00;1.0144269458e+00;1.0143495380e+00;1.0142546032e+00;1.0143327253e+00;1.0142704636e+00;1.0146720611e+00;1.0142634510e+00
1.1520000000e-04;1.0135058130e+00;1.0135185936e+00;1.0137095592e+00;1.0138532456e+00;1.0134814936e+00;1.0138456005e+00;1.0137279578e+00;1.0137560470e+00;1.0143277208e+00;1.0143725306e+00;1.0139362876e+00;1.0138413997e+00;1.0137639172e+00;1.0136532303e+00;1.0137954012e+00;1.0137270551e+00;1.0139221725e+00;1.0135139813e+00
1.2800000000e-04;1.0128169159e+00;1.0129778913e+00;1.0131203522e+00;1.0132866470e+00;1.0128896566e+00;1.0132613109e+00;1.0131985011e+00;1.0132869539e+00;1.0138417567e+00;1.0138415328e+00;1.0132618945e+00;1.0133255722e+00;1.0132286601e+00;1.0131072724e+00;1.0131497573e+00;1.0132300136e+00;1.0133462541e+00;1.0130332673e+00
1.4080000000e-04;1.0124925403e+00;1.0125200954e+00;1.0125694379e+00;1.0126724091e+00;1.0124312213e+00;1.0126507080e+00;1.0126730577e+00;1.0126951656e+00;1.0133197888e+00;1.0133717696e+00;1.0128214607e+00;1.0128394649e+00;1.0127941665e+00;1.0125533057e+00;1.0126118429e+00;1.0127059728e+00;1.0128054810e+00;1.0123447294e+00
1.5360000000e-04;1.0119974587e+00;1.0119523623e+00;1.0122005595e+00;1.0122337475e+00;1.0120083450e+00;1.0122166067e+00;1.0121116350e+00;1.0121621151e+00;1.0128401857e+00;1.0128873287e+00;1.0123697018e+00;1.0123884966e+00;1.0123046802e+00;1.0121274604e+00;1.0121747000e+00;1.0121744858e+00;1.0124342055e+00;1.0119300624e+00
1.6640000000e-04;1.0115331116e+00;1.0115376170e+00;1.0117488883e+00;1.0117301968e+00;1.0115988335e+00;1.0117368498e+00;1.0117666381e+00;1.0118373418e+00;1.0123600143e+00;1.0125088866e+00;1.0118159170e+00;1.0119024020e+00;1.0117949604e+00;1.0117582138e+00;1.0118011408e+00;1.0117791420e+00;1.0119883321e+00;1.0114351303e+00
1.7920000000e-04;1.0111825844e+00;1.0111031649e+00;1.0113838096e+00;1.0113631600e+00;1.0111665228e+00;1.0114690077e+00;1.0114314036e+00;1.0113686393e+00;1.0120237037e+00;1.0120530496e+00;1.0114704056e+00;1.0114597013e+00;1.0115260985e+00;1.0112951514e+00;1.0113795859e+00;1.0114183653e+00;1.0116330457e+00;1.0110324273e+00
